Date,Open,High,Low,Close,Adj Close,Volume
30-05-1986,12.944445,12.972222,12.805555,12.944445,5.105029,1443800
02-06-1986,12.888889,12.888889,12.694445,12.777778,5.039301,854000
03-06-1986,12.722222,12.722222,12.611111,12.666667,4.995481,1133400
04-06-1986,12.75,12.972222,12.75,12.861111,5.072167,2053800
05-06-1986,12.861111,13,12.833333,12.972222,5.115984,1631600
06-06-1986,12.972222,13.333333,12.972222,13.333333,5.2584,2212200
09-06-1986,13.333333,13.333333,12.916667,13.055555,5.14885,2631800
10-06-1986,13.055555,13.472222,13.027778,13.416667,5.291266,1855800
11-06-1986,13.416667,13.5,13.277778,13.444445,5.302222,1503200
12-06-1986,13.444445,13.444445,13.222222,13.222222,5.21458,1735200
13-06-1986,13.222222,13.583333,13.222222,13.5,5.324131,1762200
16-06-1986,13.583333,13.777778,13.583333,13.722222,5.411767,1813800
17-06-1986,13.75,14,13.75,14,5.521319,2673800
18-06-1986,14,14.027778,13.777778,13.944445,5.499413,2888400
19-06-1986,13.944445,13.972222,13.833333,13.833333,5.45559,1657800
20-06-1986,13.833333,14.166667,13.833333,14.166667,5.587051,3113400
23-06-1986,14.166667,14.333333,14.055555,14.222222,5.608961,3329000
24-06-1986,14.222222,14.25,14.138889,14.222222,5.608961,1824600
25-06-1986,14.222222,14.277778,14.111111,14.138889,5.576098,2279000
26-06-1986,14.111111,14.111111,13.888889,13.972222,5.510363,1496000
27-06-1986,13.972222,13.972222,13.777778,13.777778,5.43368,1290800
30-06-1986,13.777778,14.083333,13.75,14,5.521319,1960200
01-07-1986,14,14.333333,13.944445,14.305555,5.641826,2194200
02-07-1986,14.305555,14.416667,14.277778,14.361111,5.663734,2492000
03-07-1986,14.333333,14.333333,14.166667,14.222222,5.608961,1196400
07-07-1986,14.138889,14.138889,13.555555,13.666667,5.38986,3096200
08-07-1986,13.666667,13.694445,13.277778,13.694445,5.400817,3717800
09-07-1986,13.805555,14.194445,13.805555,13.833333,5.45559,2442000
10-07-1986,13.833333,14,13.611111,13.861111,5.466542,2422200
11-07-1986,13.861111,13.888889,13.555555,13.694445,5.400817,1701200
14-07-1986,13.666667,13.666667,13.388889,13.527778,5.335084,1356200
15-07-1986,13.444445,13.444445,13.222222,13.333333,5.2584,2252000
16-07-1986,13.333333,13.472222,13.25,13.444445,5.302222,2072000
17-07-1986,13.444445,13.5,13.388889,13.472222,5.313176,1026000
18-07-1986,13.472222,13.611111,13.305555,13.611111,5.367949,1404800
21-07-1986,13.555555,13.555555,13.333333,13.361111,5.269355,1265600
22-07-1986,13.333333,13.333333,13.111111,13.111111,5.17076,2500200
23-07-1986,13.111111,13.277778,13.055555,13.25,5.225537,2189000
24-07-1986,13.25,13.333333,13.111111,13.166667,5.192668,1326600
25-07-1986,13.194445,13.333333,13.194445,13.277778,5.23649,623000
28-07-1986,13.277778,13.388889,13.055555,13.194445,5.203625,1645400
29-07-1986,13.166667,13.166667,12.916667,12.944445,5.105029,1291800
30-07-1986,12.944445,13.055555,12.888889,13,5.126944,1845000
31-07-1986,13,13.194445,12.944445,13.138889,5.181714,1800000
01-08-1986,13.138889,13.277778,13.083333,13.083333,5.159805,1174800
04-08-1986,13.083333,13.333333,13.027778,13.305555,5.247447,3305000
05-08-1986,13.305555,13.305555,13.138889,13.138889,5.234272,1097400
06-08-1986,13.138889,13.222222,12.888889,13.027778,5.190008,2143800
07-08-1986,13.027778,13.111111,13,13,5.178945,1015400
08-08-1986,13,13.083333,12.916667,12.916667,5.145744,964200
11-08-1986,12.916667,13.111111,12.833333,13.027778,5.190008,1835000
12-08-1986,13.027778,13.388889,13,13.361111,5.3228,1785800
13-08-1986,13.361111,13.527778,13.277778,13.277778,5.289603,2083400
14-08-1986,13.277778,13.305555,13.194445,13.25,5.278538,1190600
15-08-1986,13.25,13.388889,13.138889,13.166667,5.245336,1946600
18-08-1986,13.305555,13.388889,13.305555,13.361111,5.3228,2062800
19-08-1986,13.361111,13.388889,13.222222,13.222222,5.26747,1746000
20-08-1986,13.416667,13.722222,13.416667,13.666667,5.44453,3715400
21-08-1986,13.694445,13.833333,13.694445,13.722222,5.466656,1775000
22-08-1986,13.722222,13.75,13.555555,13.638889,5.433462,1299000
25-08-1986,13.638889,13.666667,13.444445,13.472222,5.367064,1661600
26-08-1986,13.472222,13.611111,13.472222,13.611111,5.422394,1956600
27-08-1986,13.611111,13.694445,13.277778,13.388889,5.333869,2477600
28-08-1986,13.416667,13.527778,13.416667,13.527778,5.389197,1624800
29-08-1986,13.527778,13.583333,13.333333,13.527778,5.389197,1712600
02-09-1986,13.444445,13.444445,13.027778,13.194445,5.256404,2103200
03-09-1986,13.194445,13.416667,13.138889,13.388889,5.333869,1013400
04-09-1986,13.388889,13.444445,13.277778,13.361111,5.3228,1852400
05-09-1986,13.361111,13.472222,13.138889,13.138889,5.234272,1889000
08-09-1986,13.111111,13.111111,12.944445,13.055555,5.201076,1607400
09-09-1986,13.083333,13.305555,13.083333,13.166667,5.245336,1478600
10-09-1986,13.166667,13.166667,12.972222,13.027778,5.190008,1002000
11-09-1986,13.027778,13.083333,12.388889,12.5,4.979751,4284200
12-09-1986,12.416667,12.416667,11.888889,12.138889,4.835893,5085000
15-09-1986,12.138889,12.5,12.138889,12.472222,4.968684,1752200
16-09-1986,12.472222,12.527778,12.305555,12.527778,4.990817,1323000
17-09-1986,12.527778,12.722222,12.444445,12.666667,5.04615,1246400
18-09-1986,12.583333,12.583333,12.25,12.5,4.979751,1497600
19-09-1986,12.5,12.527778,12.194445,12.388889,4.935485,2010800
22-09-1986,12.388889,12.472222,12.305555,12.388889,4.935485,951600
23-09-1986,12.388889,12.472222,12.222222,12.25,4.880156,1119600
24-09-1986,12.25,12.416667,12.138889,12.222222,4.86909,2857800
25-09-1986,12.222222,12.222222,11.722222,11.861111,4.725232,3062600
26-09-1986,11.861111,12,11.722222,11.888889,4.736297,1353000
29-09-1986,11.777778,11.777778,11.444445,11.611111,4.625636,1932200
30-09-1986,11.638889,12,11.638889,11.861111,4.725232,1686800
01-10-1986,11.861111,12.25,11.861111,12.083333,4.813762,3549000
02-10-1986,12.083333,12.083333,11.833333,11.861111,4.725232,2595000
03-10-1986,11.861111,12.027778,11.694445,11.888889,4.736297,2009000
06-10-1986,11.916667,12.083333,11.916667,12.055555,4.802697,988200
07-10-1986,12.055555,12.166667,11.972222,12,4.780562,1615800
08-10-1986,12,12.055555,11.944445,12,4.780562,1547000
09-10-1986,12,12.111111,11.861111,11.888889,4.736297,1146800
10-10-1986,11.888889,11.944445,11.722222,11.75,4.680969,728000
13-10-1986,11.75,11.861111,11.611111,11.666667,4.647767,1240200
14-10-1986,11.722222,11.888889,11.722222,11.833333,4.714165,1843200
15-10-1986,11.833333,12.305555,11.833333,12.222222,4.86909,2282600
